subID,subName
GSL611G,Pathology
EVF401G,Material and Energy Balances
KYN107F,MA seminar in gender studies - first part
KYN214F,MA seminar in gender studies - second part
TÓS207G,Sociology and equality
UME304G,Philosophy of education and history of ideas
ÍÞH410G,Biomechanics
FRA101G,French Grammar I
HGF305G,Clinical coding
STÆ004F,Random Effects Models
TÓS213G,Peer to peer support (spring)
ÍSL101F,Writing and Editing
HSP201G,Logic
ÍSL209G,The Linguistic System - Sounds and Words
TÖL104M,Network Measurements and Analysis
STÆ017F,Literature Study for the Master's Degree in Statistics
ÍSE103G,Icelandic Language I
STÆ104G,Mathematical Analysis I
ÍSL206G,Medieval literature
TAN633G,Complete Dentures IV
STÆ402G,Mathematical Seminar
TUG401G,Statics I
TAN103G,Occlusion Theoretical
BYG503G,Transportation Engineering
TSM501G,Practical training in Dental technology I
TAN104G,Occlusion Practical
VIÐ198F,Corporate Governance
HSP723M,Current ethical issues
FRG129F,Group Work and Group Therapy
ÍET102G,Academic writing and critical reading
FRA022G,Directed Study in French: Translation
FOR604M,Materiality and embodiment in Christian culture
HSP440M,Seminar: Pioneers of Philosophical Embodied Thinking
UMV302G,Environmental Engineering G
VIÐ285F,Labour Law
HJÚ715G,Nursing Care of Children and Families
TUG403G,Dynamics I
UME102G,Parenting: Challenges of modern society
LÖG431L,LLM Final Thesis
LÖG152F,Trademark Law and Summary of Patent Law
SAG356G,The Medieval Baltic and North Seas: The Hanseatic League as an Early Attempt at Globalisation
EVF502G,Material and Energy Balances II
LÆK622F,Practical clinical training
EFN103G,Chemistry 2
FRG405G,Volunteer Work : Field studies
VIÐ303M,Supply Chain Management
KME301F,Teaching and Learning – becoming a Professional
EFN104G,Chemistry 3
HBV506M,Secure Software Engineering
GSL314G,Pharmacology and Contrast Media
MBA121F,Marketing
MAN105F,Working Methods in Global Studies
ÞJÓ451G,"Immersion in Icelandic Culture, Society, Geology and History: Understanding Icelanders and Iceland through the Geothermal Pools/Baths"
FÉL441L,MA Thesis in Sociology
VIÐ1A7F,International Finance
ÍET202G,Introduction to English language teaching
SÁL428L,MS thesis in Applied Psychology; Social Psychology
TAN308G,"Removable Dentures, Preclin. II"
ÍSE105G,Conversational practise I
TAN305G,"Removable Dentures, Preclinical I"
ÍTA003G,Self-Directed Study in Italian I (online)
TAN632G,Pedodontics III
UGR102G,College Algebra
TAN513G,Pedodontics I
TAN301G,"Operative Dentistry, Preclin.II"
TAN304G,Preclinical Operative Dentistry I
TAN307G,"Operative Dentistry, Preclin. II"
TAN631G,Oral and Maxillofacial Surgery III
KLM307G,Ancient Philosophical Texts
ÍÞH324G,Strength training
FRA106G,French Society I – Popular culture
LÆK308G,Pharmacology I
FRG103G,Alcohol and Drug Abuse
FRA113G,Translation I
SÁL501M,Research methods in Applied Behavioral Analysis
ÍSE201G,Grammar II
STÆ207G,Mathematical Analysis IIA
GKY201F,Comprehensive primary teaching
NÆR067F,Preparation for internship
TAN612G,Complete Dentures V
TSM103G,Chemistry
SFG006G,Life skills  –  ethics education
ÍSE007G,Vocabulary and Grammar II
TAN527G,Complete Dentures IV
GSL204G,Radiation Protection
LVG015G,Green Woodwork and Whittling
ÍET206F,Icelandic and the education of multilingual students
ÍET006G,Literature and identities
ÍET001G,"Language, school and society"
LYF307G,Vocational training
LVG014G,Teaching Design and Craft II
TAN617G,Oral and Maxillofac Surgery IV - Clinical
TAN511G,Complete Dentures III
TAN422G,Prosthodontics
KME101F,Gender equality in schools
TAN407G,Prosthodontics
TAN202G,Psychology and human interaction
HGF102G,Information and records management
LYF003G,Research project - exchange students
TAN514G,Oral and Maxillofac. Surgery I
REI504M,Cloud Computing and Big Data
LÖG206G,European Law
LVG104G,Design as a Source for Creativity
TAN624G,Partial Dentures VI
LÆK219G,Anatomy Ph. IA - Embryology
TAN314G,Radiology- Diagnosis
FMÞ302G,Ethnography: Challenges and experiments in the 21st century
TAN623G,Partial Dentures V
MLT703F,Evaluating and Improving Text Generation Models: A Linguist's Approach
MLT806F,Agent-Based Modeling of Language as Complex Systems
ÍSB823F,Egils saga Skallagrímssonar
ÍET106F,Icelandic teaching and policy
ENS131G,Effective Speaking and Listening
IÐN503G,Project Management
TÓS106G,Peer to peer support (spring)
ENS132G,Academic English: Writing I
ENS133G,Reading and Vocabulary Development I
IÐN103G,Engineering Management
